 Omnivariance, Eigenentropy, Anisotropy, Linearity, Surface Variation, Class
0.1306,0.7887,-3.287,-0.7011,0.6134,1
0.1401,0.8163,-2.802,-0.7539,0.58,1
0.1256,0.7786,-3.772,-1.097,0.6064,1
0.1571,0.8427,-4.22,-1.287,0.6136,1
0.1612,0.8567,-3.401,-1.028,0.5924,1
0.165,0.8594,-3.912,-1.252,0.6017,1
0.1318,0.7951,-3.744,-1.18,0.5987,1
0.09934,0.6898,-4.303,-0.1162,0.7148,1
0.08256,0.6367,-4.731,-0.315,0.7123,1
0.09298,0.674,-8.882,-1.396,0.7442,1
0.04138,0.4791,-12.63,-7.263,0.5954,1
0.09555,0.6832,-5.559,-0.7963,0.7011,1
0.133,0.7949,-3.166,-0.6719,0.6092,1
0.1346,0.7987,-3.374,-0.7806,0.6114,1
0.1341,0.7989,-4.046,-1.225,0.61,1
0.1291,0.7861,-3.644,-0.9511,0.6114,1
0.1329,0.795,-3.188,-0.7002,0.608,1
0.1265,0.781,-3.879,-1.163,0.6067,1
0.166,0.8611,-3.893,-1.25,0.6009,1
0.1422,0.8202,-2.993,-0.8096,0.587,1
0.1597,0.8458,-4.156,-1.192,0.6176,1
0.1245,0.7475,-5.47,-0.5241,0.7194,1
0.1647,0.8601,-3.598,-1.063,0.6002,1
0.1309,0.793,-4.054,-1.335,0.6025,1
0.1511,0.8335,-3.603,-0.937,0.6105,1
0.1432,0.8228,-3.038,-0.8614,0.5853,1
0.1321,0.7953,-4.196,-1.384,0.6056,1
0.1539,0.8392,-4.549,-1.619,0.6053,1
0.1323,0.7926,-3.242,-0.6795,0.6129,1
0.1628,0.8595,-3.405,-1.04,0.5916,1
0.1557,0.8414,-4.118,-1.262,0.6107,1
0.13,0.7872,-3.582,-0.863,0.6155,1
0.1529,0.8334,-4.201,-1.172,0.6212,1
0.1632,0.8556,-3.863,-1.172,0.6052,1
0.1626,0.8547,-3.825,-1.144,0.6055,1
0.1576,0.8426,-4.034,-1.113,0.6179,1
0.1341,0.7978,-3.161,-0.6795,0.6083,1
0.1328,0.7985,-3.693,-1.216,0.5934,1
0.1304,0.7934,-3.895,-1.387,0.591,1
0.129,0.786,-3.57,-0.9244,0.6098,1
0.1303,0.7885,-3.187,-0.6914,0.6087,1
0.1262,0.7524,-5.147,-0.4498,0.7151,1
0.1287,0.7849,-3.348,-0.7923,0.6089,1
0.1652,0.8518,-4.208,-1.142,0.6237,1
0.127,0.7521,-5.247,-0.4421,0.7189,1
0.139,0.8123,-3.431,-1.04,0.5931,1
0.1252,0.775,-3.993,-1.016,0.6234,1
0.1247,0.773,-4.003,-0.9793,0.6268,1
0.1013,0.6966,-4.216,-0.1817,0.7051,1
0.1622,0.8426,-4.472,-1.135,0.6358,1
0.1399,0.8156,-2.927,-0.8029,0.5835,1
0.1488,0.829,-3.837,-1.077,0.6112,1
0.1335,0.7994,-3.633,-1.131,0.5967,1
0.1584,0.8441,-4.058,-1.142,0.6168,1
0.131,0.7906,-3.135,-0.6817,0.6066,1
0.131,0.7912,-3.372,-0.8403,0.6062,1
0.1258,0.7513,-5.202,-0.4559,0.7163,1
0.1568,0.8387,-4.291,-1.181,0.6245,1
0.1321,0.7956,-4.133,-1.364,0.6041,1
0.1492,0.8293,-3.711,-0.9733,0.6131,1
0.1294,0.7861,-3.399,-0.7907,0.6119,1
0.1652,0.8602,-3.812,-1.203,0.6004,1
0.1222,0.7689,-3.64,-0.9929,0.6079,1
0.1391,0.812,-2.929,-0.705,0.5923,1
0.1411,0.8188,-2.993,-0.8737,0.5815,1
