 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.765,1.09,1.242,0.4074,0.09934,0.6898,-4.303,1
0.9236,0.91,1.791,0.3388,0.08256,0.6367,-4.731,1
2.065,0.92,1.349,0.4299,0.09298,0.674,-8.882,1
0.8919,0.9,1.136,0.1962,0.04138,0.4791,-12.63,1
2.056,1.1,1.128,0.3929,0.09555,0.6832,-5.559,1
1.572,1.09,1.977,0.4761,0.133,0.7949,-3.166,1
1.593,1.09,2.007,0.4859,0.1346,0.7987,-3.374,1
1.592,1.09,1.787,0.4954,0.1341,0.7989,-4.046,1
1.834,1.08,1.609,0.4705,0.1291,0.7861,-3.644,1
1.938,1.09,1.565,0.4758,0.1329,0.795,-3.188,1
1.58,1.08,1.665,0.4638,0.1265,0.781,-3.879,1
2.488,1.23,1.706,0.6075,0.166,0.8611,-3.893,1
1.754,1.21,1.375,0.5004,0.1422,0.8202,-2.993,1
1.74,1.1,2.442,0.5942,0.1597,0.8458,-4.156,1
1.67,1.08,2.391,0.522,0.1245,0.7475,-5.47,1
1.793,1.23,2.075,0.5962,0.1647,0.8601,-3.598,1
1.364,1.09,1.877,0.4825,0.1309,0.793,-4.054,1
2.407,1.12,1.62,0.5493,0.1511,0.8335,-3.603,1
1.628,1.22,1.503,0.5044,0.1432,0.8228,-3.038,1
1.544,1.09,1.754,0.4897,0.1321,0.7953,-4.196,1
2.133,1.09,1.942,0.5783,0.1539,0.8392,-4.549,1
1.825,1.09,1.255,0.4758,0.1323,0.7926,-3.242,1
1.688,1.22,2.286,0.5828,0.1628,0.8595,-3.405,1
2.427,1.09,1.883,0.5769,0.1557,0.8414,-4.118,1
1.871,1.1,1.572,0.4734,0.13,0.7872,-3.582,1
2.515,1.08,1.563,0.5706,0.1529,0.8334,-4.201,1
2.509,1.23,1.731,0.5976,0.1632,0.8556,-3.863,1
1.656,1.23,2.267,0.5948,0.1626,0.8547,-3.825,1
1.645,1.1,2.15,0.5839,0.1576,0.8426,-4.034,1
1.841,1.12,1.621,0.4798,0.1341,0.7978,-3.161,1
1.827,1.09,1.864,0.4813,0.1328,0.7985,-3.693,1
1.809,1.09,1.644,0.4759,0.1304,0.7934,-3.895,1
1.817,1.09,1.631,0.4685,0.129,0.786,-3.57,1
1.24,1.1,1.932,0.4667,0.1303,0.7885,-3.187,1
1.924,1.1,2.041,0.5233,0.1262,0.7524,-5.147,1
1.192,1.08,1.89,0.4637,0.1287,0.7849,-3.348,1
1.687,1.22,2.143,0.6172,0.1652,0.8518,-4.208,1
1.709,1.09,2.336,0.5301,0.127,0.7521,-5.247,1
1.655,1.21,1.777,0.4984,0.139,0.8123,-3.431,1
1.24,1.1,1.774,0.4645,0.1252,0.775,-3.993,1
1.574,0.96,1.544,0.4634,0.1247,0.773,-4.003,1
1.599,1.09,1.43,0.4085,0.1013,0.6966,-4.216,1
2.467,1.1,1.706,0.6152,0.1622,0.8426,-4.472,1
1.74,1.22,1.637,0.4905,0.1399,0.8156,-2.927,1
2.462,1.1,1.621,0.5458,0.1488,0.829,-3.837,1
1.896,1.09,1.722,0.4832,0.1335,0.7994,-3.633,1
2.425,1.09,1.674,0.5871,0.1584,0.8441,-4.058,1
1.242,1.08,1.92,0.468,0.131,0.7906,-3.135,1
1.83,1.08,1.597,0.4716,0.131,0.7912,-3.372,1
1.861,1.09,2.159,0.5232,0.1258,0.7513,-5.202,1
2.537,1.09,1.659,0.5878,0.1568,0.8387,-4.291,1
1.375,1.09,1.912,0.4885,0.1321,0.7956,-4.133,1
2.445,1.09,1.55,0.5453,0.1492,0.8293,-3.711,1
1.996,1.08,1.548,0.4676,0.1294,0.7861,-3.399,1
2.477,1.21,1.65,0.6026,0.1652,0.8602,-3.812,1
1.982,1.09,1.555,0.4442,0.1222,0.7689,-3.64,1
1.855,1.22,1.689,0.4893,0.1391,0.812,-2.929,1
1.788,1.22,1.322,0.4955,0.1411,0.8188,-2.993,1
2.295,1.09,1.595,0.5632,0.1531,0.8353,-3.851,1
2.175,1.09,1.9,0.5812,0.157,0.8452,-4.172,1
2.519,1.23,1.736,0.6147,0.1678,0.8615,-3.83,1
1.439,1.21,1.77,0.4962,0.1401,0.8164,-3.196,1
1.846,1.1,1.701,0.4807,0.1339,0.7974,-3.274,1
2.139,1.08,1.623,0.5678,0.1531,0.8363,-4.126,1
2.511,1.22,1.715,0.5963,0.1636,0.8588,-3.832,1
2.394,1.23,1.762,0.5938,0.1615,0.8521,-3.962,1
1.606,1.09,2.431,0.6028,0.1589,0.8396,-4.547,1
2.239,1.08,1.809,0.5584,0.151,0.8311,-3.972,1
1.808,1.09,1.887,0.4907,0.1345,0.801,-3.783,1
1.306,1.09,2.519,0.5246,0.1262,0.7515,-5.108,1
1.723,1.09,1.987,0.4858,0.1314,0.7924,-4.072,1
1.276,1.08,1.993,0.4732,0.1324,0.7943,-3.197,1
1.761,1.24,1.337,0.5038,0.1447,0.8265,-2.76,1
1.721,1.21,2.032,0.4999,0.1411,0.8187,-3.207,1
1.844,1.12,2.022,0.5458,0.1492,0.8287,-3.711,1
1.462,1.22,1.757,0.4951,0.1397,0.8152,-3.206,1
1.951,1.09,1.857,0.5639,0.1506,0.8283,-4.258,1
1.563,1.09,1.928,0.4714,0.1321,0.7936,-3.155,1
1.632,1.24,2.217,0.6115,0.1681,0.8646,-3.729,1
1.374,1.08,1.957,0.473,0.1312,0.7915,-3.419,1
1.592,1.09,2.201,0.5609,0.1494,0.825,-4.287,1
2.492,1.22,1.732,0.5923,0.1639,0.8597,-3.595,1
1.553,1.08,1.843,0.4869,0.1324,0.7964,-4.016,1
1.861,1.09,1.608,0.4697,0.1294,0.7869,-3.554,1
2.362,1.09,1.601,0.579,0.1525,0.8282,-4.527,1
1.303,1.1,1.657,0.4669,0.1298,0.788,-3.358,1
1.599,1.22,1.684,0.4949,0.1424,0.8221,-2.781,1
1.72,1.22,1.353,0.4864,0.1392,0.8133,-2.807,1
2.455,1.23,1.658,0.6118,0.1675,0.8626,-3.791,1
2.513,1.23,1.695,0.5819,0.1623,0.8602,-3.485,1
1.811,1.12,1.634,0.4754,0.1316,0.7915,-3.381,1
1.986,1.09,1.928,0.5831,0.1552,0.8337,-4.221,1
1.736,1.1,2.016,0.4866,0.1357,0.8052,-3.458,1
1.84,1.08,1.599,0.4719,0.1306,0.7901,-3.483,1
2.431,1.22,1.705,0.5781,0.1601,0.8544,-3.617,1
1.667,1.09,1.39,0.4697,0.1283,0.7826,-3.663,1
1.694,1.22,2.482,0.5813,0.1618,0.8583,-3.51,1
2.386,1.09,1.598,0.5531,0.1486,0.8256,-4.119,1
1.829,1.1,1.6,0.4651,0.1286,0.785,-3.486,1
2.542,1.09,1.659,0.6026,0.1607,0.8449,-4.307,1
1.62,1.1,1.767,0.4802,0.1316,0.7946,-3.819,1
1.624,1.09,2.203,0.531,0.1275,0.7542,-5.282,1
