 Length, Height, Width, Linearity, Verticality, Class
2.512,1.24,1.769,-1.074,0.8804,1
1.907,1.08,1.266,-0.9101,0.9326,1
2.239,1.09,1.756,-1.206,0.9107,1
1.792,1.31,1.658,-1.068,0.913,1
1.692,1.23,2.165,-1.162,0.9047,1
2.269,1.24,1.665,-1.08,0.8937,1
2.013,1.08,1.508,-0.7961,0.9485,1
1.843,1.1,1.854,-1.255,0.907,1
1.531,1.08,1.958,-0.9086,0.9588,1
2.441,1.22,1.717,-1.105,0.8962,1
1.774,1.09,1.614,-1.109,0.9375,1
2.42,1.17,1.624,-1.304,0.8779,1
2.483,1.23,1.681,-1.184,0.8965,1
1.924,1.09,1.638,-0.9662,0.9515,1
1.854,1.08,1.583,-0.8048,0.9239,1
2.475,1.09,1.61,-1.065,0.9007,1
2.448,1.09,1.588,-1.115,0.9034,1
1.649,1.09,1.608,-0.7593,0.9279,1
1.398,1.31,1.837,-1.021,0.8852,1
2.383,1.23,1.695,-1.121,0.9073,1
1.666,1.09,1.428,-0.8747,0.9186,1
2.479,1.3,1.752,-1.176,0.8956,1
2.506,1.22,1.725,-1.133,0.9072,1
1.774,1.09,1.736,-1.026,0.9255,1
1.652,1.22,2.327,-1.303,0.8999,1
1.561,1.09,1.607,-0.7188,0.9187,1
1.727,1.08,2.094,-1.015,0.9205,1
2.128,1.09,1.64,-1.123,0.8809,1
2.515,1.22,1.612,-1.074,0.886,1
2.509,1.22,1.657,-1.134,0.9086,1
2.068,1.24,1.85,-1.195,0.8944,1
1.523,1.09,2.469,-1.027,0.9201,1
1.713,1.08,2.301,-1.098,0.9193,1
1.579,1.09,2.462,-1.167,0.9005,1
2.265,1.12,1.613,-1.098,0.8996,1
1.737,1.09,1.567,-0.7645,0.9145,1
1.697,1.07,1.602,-0.7917,0.9317,1
1.768,1.08,1.586,-1.007,0.9369,1
1.935,1.09,1.376,-0.8252,0.9356,1
2.513,1.1,1.764,-1.415,0.9117,1
2.503,1.23,1.703,-1.177,0.9038,1
2.416,1.22,1.754,-1.092,0.8969,1
2.335,1.22,1.632,-1.022,0.909,1
1.668,1.1,1.778,-1.215,0.9257,1
1.713,1.12,1.599,-0.6875,0.8775,1
1.711,1.24,1.397,-0.7063,0.9112,1
2.418,1.23,1.705,-1.055,0.9175,1
2.253,1.22,1.666,-1.073,0.92,1
2.504,1.23,1.804,-1.237,0.8858,1
1.692,1.22,2.232,-1.245,0.9393,1
1.9,1.09,1.756,-1.077,0.929,1
1.8,1.09,2.175,-1.512,0.9075,1
1.726,1.22,1.985,-0.9708,0.944,1
1.791,1.09,1.599,-0.8461,0.9422,1
1.71,1.09,2.328,-0.4193,0.9445,1
2.533,1.22,1.751,-1.151,0.8868,1
1.356,1.09,1.882,-1.277,0.9362,1
1.859,1.08,1.585,-0.8571,0.913,1
1.462,1.09,1.62,-0.2391,0.9763,1
2.494,1.22,1.69,-1.077,0.9035,1
1.616,1.09,1.898,-0.7238,0.9267,1
1.675,1.11,2.173,-1.007,0.8903,1
1.935,1.09,1.681,-1.042,0.8841,1
1.822,1.08,1.604,-0.8838,0.9281,1
2.385,1.22,1.711,-1.053,0.9033,1
1.507,1.09,1.582,-0.8588,0.9157,1
1.55,1.23,1.736,-0.8789,0.9312,1
1.835,1.31,1.399,-0.9565,0.8886,1
2.332,1.22,1.614,-1.109,0.8957,1
1.456,1.22,1.796,-0.7593,0.9159,1
2.437,1.1,1.706,-1.276,0.897,1
1.88,1.1,1.271,-0.7863,0.9174,1
1.446,1.22,1.694,-0.7742,0.9331,1
1.506,1.09,1.989,-0.8965,0.9196,1
2.388,1.17,1.771,-1.277,0.88,1
2.494,1.24,1.68,-1.086,0.8917,1
1.957,1.21,1.917,-1.208,0.9165,1
1.958,1.09,1.726,-1.116,0.938,1
1.672,1.24,2.464,-0.988,0.8876,1
1.695,1.08,1.272,-1.052,0.9475,1
1.707,1.24,2.472,-1.002,0.8771,1
1.736,1.22,1.882,-0.8653,0.9177,1
1.581,1.08,2.425,-1.248,0.9266,1
2.295,1.23,1.691,-1.03,0.9161,1
1.728,1.08,1.571,-0.8267,0.9301,1
1.959,1.09,1.834,-1.347,0.944,1
2.486,1.24,1.733,-1.027,0.883,1
2.508,1.22,1.589,-0.9595,0.9306,1
1.807,1.09,1.577,-0.7973,0.9093,1
1.468,1.31,1.799,-1.014,0.888,1
1.93,1.08,1.217,-0.7674,0.9274,1
1.982,1.1,1.785,-1.073,0.9016,1
1.939,1.11,1.996,-0.6164,0.9141,1
1.654,1.24,2.153,-1.09,0.8946,1
1.376,1.23,1.827,-0.8802,0.9357,1
1.924,1.09,1.61,-0.8374,0.9177,1
4.157,1.09,1.668,-1.619,0.9618,1
1.515,1.08,1.972,-1.007,0.9224,1
1.834,1.09,1.605,-0.7304,0.9155,1
1.725,1.22,1.68,-0.8764,0.9389,1
1.857,1.09,1.627,-0.9924,0.9567,1
2.328,1.22,1.705,-1.181,0.901,1
2.41,1.1,1.606,-1.047,0.9169,1
2.209,1.21,1.646,-1.169,0.9162,1
1.766,1.3,2.373,-1.105,0.8777,1
1.569,1.08,2.261,-0.5711,0.9439,1
2.291,1.25,1.607,-1.029,0.9091,1
1.251,1.08,1.841,-0.8339,0.931,1
1.646,1.12,2.197,-1.305,0.8932,1
1.743,1.09,1.58,-0.8368,0.9416,1
2.243,1.22,1.895,-1.208,0.9008,1
2.502,1.22,1.733,-1.119,0.9131,1
2.368,1.21,1.682,-1.173,0.9282,1
2.326,1.09,1.639,-1.22,0.9003,1
1.885,1.09,1.585,-0.8219,0.9278,1
1.614,1.24,2.261,-1.102,0.8918,1
2.42,1.09,1.612,-1.15,0.9181,1
1.315,1.09,2.537,-0.4497,0.9453,1
1.409,1.22,1.706,-0.682,0.922,1
1.777,1.24,2.498,-1.08,0.8833,1
2.14,1.09,1.856,-1.323,0.9222,1
1.837,1.09,1.596,-0.7215,0.9205,1
2.522,1.24,1.771,-1.193,0.8829,1
1.376,1.09,1.823,-1.076,0.9331,1
1.608,1.09,2.159,-0.4334,0.9543,1
2.355,1.22,1.682,-1.143,0.9162,1
1.619,1.09,2.486,-0.9968,0.8877,1
1.383,1.12,2.492,-0.4091,0.9314,1
2.537,1.22,1.719,-1.136,0.9,1
1.222,1.09,1.897,-0.6384,0.9155,1
2.496,1.09,1.653,-1.312,0.9203,1
2.509,1.24,1.694,-1.089,0.896,1
1.686,1.24,2.214,-1.096,0.8893,1
1.868,1.23,1.728,-0.8574,0.9454,1
1.613,1.09,2.135,-1.144,0.9198,1
1.658,1.09,1.343,-0.09578,0.9969,1
1.358,1.23,1.851,-0.9492,0.9334,1
2.235,1.1,1.725,-1.209,0.9231,1
1.385,1.09,1.571,-0.1682,0.997,1
1.799,1.09,1.588,-0.8362,0.9035,1
1.59,1.12,1.568,-0.6933,0.8985,1
