 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.394,1.09,2.47,0.542,0.128,0.7511,-5.538,-5.062,-0.4769,0.7253,0.4532,0.9322,55.01,52.62,0.2839,0.4061,0.0884,0.2546,0.8933,0.1634,0.4371,0.9262,0.2509,2.119,0.002843,17.88,-0.004951,0
1.608,1.08,1.839,0.4603,0.1266,0.7797,-3.598,-2.671,-0.9268,0.6111,0.3425,0.9366,52.87,51.88,0.3535,0.1349,0.0499,0.3623,0.5279,0.1646,0.3516,0.9047,0.2509,2.119,0.002843,17.88,-0.004951,0
1.271,1.1,1.676,0.4549,0.1232,0.7708,-3.961,-2.884,-1.077,0.6172,0.3374,0.9179,53.65,52.62,0.256,0.1966,0.03616,0.274,0.4796,0.1707,0.3081,1.098,0.2509,2.119,0.002843,17.88,-0.004951,0
1.581,1.22,1.651,0.4788,0.1363,0.8049,-2.848,-2.224,-0.6242,0.5946,0.3586,0.9332,50.44,48.25,0.3309,0.1959,0.005921,0.4021,0.4359,0.2002,0.3461,1.517,0.2509,2.119,0.002843,17.88,-0.004951,0
2.471,1.22,1.689,0.6079,0.1652,0.8576,-3.97,-2.764,-1.206,0.6079,0.4439,0.9141,49.87,41.79,0.319,0.2692,0.01236,0.8741,0.4026,0.2019,0.4929,1.442,0.2509,2.119,0.002843,17.88,-0.004951,0
1.42,1.09,1.898,0.5058,0.1371,0.8051,-4.001,-2.822,-1.179,0.6114,0.3711,0.9221,53.59,49.72,0.2848,0.3493,0.0401,0.3359,0.5678,0.1695,0.3577,1.366,0.2509,2.119,0.002843,17.88,-0.004951,0
2.249,1.09,1.74,0.5503,0.1471,0.8235,-4.289,-3.04,-1.249,0.6195,0.4054,0.8966,51.03,48.21,0.0337,0.3348,0.0651,0.7302,0.4244,0.1682,0.4409,1.276,0.2509,2.119,0.002843,17.88,-0.004951,0
1.593,1.09,1.774,0.4838,0.1323,0.7969,-3.902,-2.592,-1.31,0.5969,0.3477,0.9392,51.64,47.39,0.2357,0.4239,0.02362,0.4049,0.4809,0.1705,0.3521,1.131,0.2509,2.119,0.002843,17.88,-0.004951,0
1.639,1.24,2.161,0.6078,0.168,0.8661,-3.623,-2.501,-1.122,0.5969,0.4413,0.8925,50.98,44.59,0.3122,0.512,0.01046,0.4657,0.6727,0.2107,0.4497,1.954,0.2509,2.119,0.002843,17.88,-0.004951,0
1.706,1.08,1.335,0.463,0.1296,0.788,-3.223,-2.428,-0.795,0.6017,0.3445,0.9316,52.69,48.65,0.2567,0.234,0.04255,0.4896,0.2937,0.1679,0.3171,0.7374,0.2509,2.119,0.002843,17.88,-0.004951,0
2.011,1.09,1.896,0.5606,0.1478,0.8226,-4.592,-3.263,-1.329,0.6269,0.4142,0.8947,53.27,48.86,0.06859,0.4412,0.0649,0.6282,0.5008,0.1671,0.432,1.065,0.2509,2.119,0.002843,17.88,-0.004951,0
2.518,1.22,1.735,0.5888,0.1622,0.8571,-3.721,-2.508,-1.212,0.5951,0.4246,0.9178,52.37,49.05,0.3379,0.3073,0.01196,0.8714,0.4197,0.2011,0.4974,1.493,0.2509,2.119,0.002843,17.88,-0.004951,0
2.431,1.31,1.697,0.6294,0.1709,0.8663,-4.005,-2.753,-1.253,0.6061,0.4577,0.8746,48.84,40.87,0.08289,0.2012,0.0405,0.8539,0.4261,0.2251,0.5017,1.544,0.2509,2.119,0.002843,17.88,-0.004951,0
2.178,1.1,1.784,0.545,0.143,0.8125,-4.681,-3.365,-1.316,0.6314,0.4047,0.8925,50.69,47.79,0.003071,0.3896,0.0675,0.6982,0.4398,0.1685,0.4355,1.197,0.2509,2.119,0.002843,17.88,-0.004951,0
1.627,1.22,2.198,0.6008,0.1652,0.8602,-3.723,-2.591,-1.132,0.6013,0.4377,0.9119,53.71,51.47,0.3162,0.5061,0.006943,0.4577,0.6868,0.2036,0.4494,0.7739,0.2509,2.119,0.002843,17.88,-0.004951,0
1.246,1.09,1.81,0.4705,0.1303,0.7877,-3.338,-2.617,-0.7203,0.6146,0.3559,0.902,48.53,41.63,0.2267,0.2584,0.04787,0.2622,0.5376,0.1723,0.324,1.068,0.2509,2.119,0.002843,17.88,-0.004951,0
1.761,1.09,1.587,0.4734,0.1309,0.7893,-3.378,-2.631,-0.7469,0.6145,0.3573,0.907,52.35,49.48,0.1533,0.3236,0.04797,0.4975,0.3708,0.1724,0.3469,1.136,0.2509,2.119,0.002843,17.88,-0.004951,0
2.433,1.22,1.69,0.5948,0.1632,0.8581,-3.813,-2.559,-1.254,0.5967,0.4287,0.9127,53.24,50.24,0.4184,0.3063,0.006094,0.8326,0.4165,0.201,0.4834,1.401,0.2509,2.119,0.002843,17.88,-0.004951,0
2.487,1.24,1.653,0.5959,0.1644,0.8587,-3.612,-2.575,-1.037,0.603,0.4372,0.9018,53.29,51.59,0.4247,0.2831,0.002129,0.8573,0.4009,0.2091,0.4891,1.379,0.2509,2.119,0.002843,17.88,-0.004951,0
2.268,1.22,1.811,0.5974,0.1641,0.8592,-3.771,-2.569,-1.202,0.5984,0.4324,0.8974,50.95,47.98,0.04584,0.3623,0.003363,0.7469,0.4736,0.2028,0.4744,1.732,0.2509,2.119,0.002843,17.88,-0.004951,0
1.884,1.08,1.749,0.4758,0.1301,0.7903,-3.828,-2.668,-1.161,0.6044,0.3472,0.9001,53.38,50.52,0.1535,0.3617,0.03206,0.5337,0.4236,0.1663,0.3746,1.209,0.2509,2.119,0.002843,17.88,-0.004951,0
2.307,1.08,1.6,0.5442,0.1486,0.8279,-3.759,-2.766,-0.9933,0.6139,0.4043,0.9089,51.76,49.48,0.06426,0.3471,0.052,0.7627,0.3651,0.1704,0.4327,1.299,0.2509,2.119,0.002843,17.88,-0.004951,0
1.858,1.22,1.403,0.4927,0.1379,0.8113,-3.417,-2.275,-1.141,0.5844,0.3531,0.9398,52.31,49.3,0.1494,0.2497,0.02653,0.5708,0.302,0.1958,0.3562,1.438,0.2509,2.119,0.002843,17.88,-0.004951,0
1.528,1.22,1.6,0.4856,0.1381,0.8097,-2.904,-2.218,-0.6856,0.5924,0.3614,0.9383,49.7,45.36,0.208,0.3489,0.0124,0.3926,0.4246,0.2002,0.3391,1.071,0.2509,2.119,0.002843,17.88,-0.004951,0
1.665,1.22,1.799,0.4967,0.1386,0.8118,-3.426,-2.367,-1.059,0.5913,0.36,0.9494,52.61,49.27,0.2142,0.4002,0.0141,0.4324,0.4933,0.1957,0.3738,1.16,0.2509,2.119,0.002843,17.88,-0.004951,0
1.934,1.08,1.559,0.4633,0.1298,0.7887,-3.205,-2.412,-0.7927,0.6009,0.3446,0.9334,52.6,48.84,0.09383,0.334,0.04337,0.57,0.3371,0.1677,0.3583,1.151,0.2509,2.119,0.002843,17.88,-0.004951,0
2.324,1.22,1.676,0.5883,0.1634,0.8607,-3.565,-2.389,-1.176,0.5897,0.4229,0.9033,52.19,49.01,0.495,0.3665,0.01467,0.7505,0.4426,0.2032,0.4654,1.377,0.2509,2.119,0.002843,17.88,-0.004951,0
1.85,1.09,1.319,0.487,0.1319,0.7953,-4.104,-2.742,-1.362,0.6029,0.3511,0.953,51,48.84,0.3259,0.247,0.0382,0.5493,0.3004,0.1666,0.3388,1.545,0.2509,2.119,0.002843,17.88,-0.004951,0
2.164,1.22,1.679,0.6001,0.1653,0.8609,-3.678,-2.561,-1.117,0.6001,0.4372,0.9105,50.9,48.09,0.5025,0.3606,0.01379,0.6799,0.465,0.2045,0.4498,1.333,0.2509,2.119,0.002843,17.88,-0.004951,0
2.472,1.22,1.705,0.6139,0.1665,0.8582,-3.982,-2.824,-1.158,0.612,0.4511,0.894,53.92,49.56,0.4015,0.2425,0.001283,0.8684,0.4183,0.2029,0.4965,1.377,0.2509,2.119,0.002843,17.88,-0.004951,0
1.937,1.08,1.54,0.4669,0.1308,0.7914,-3.22,-2.406,-0.8143,0.5999,0.3465,0.9523,51.59,48.93,0.07863,0.3328,0.03919,0.5782,0.3272,0.1689,0.3581,1.135,0.2509,2.119,0.002843,17.88,-0.004951,0
1.712,1.22,1.749,0.4936,0.1393,0.8142,-3.192,-2.219,-0.9728,0.5851,0.3577,0.9322,53.22,51.09,0.2255,0.3698,0.02286,0.4482,0.4716,0.1969,0.3722,1.193,0.2509,2.119,0.002843,17.88,-0.004951,0
2.509,1.09,1.587,0.5618,0.152,0.8324,-3.948,-2.915,-1.033,0.62,0.4187,0.9293,50.45,46.91,0.3901,0.2999,0.05378,0.8623,0.3597,0.1733,0.4651,1.394,0.2509,2.119,0.002843,17.88,-0.004951,0
2.4,1.24,1.643,0.6097,0.1661,0.8587,-3.884,-2.755,-1.129,0.6095,0.4477,0.891,52.29,49.4,0.4701,0.3157,0.004486,0.8191,0.4155,0.2083,0.481,1.351,0.2509,2.119,0.002843,17.88,-0.004951,0
1.667,1.23,2.394,0.6099,0.1673,0.8635,-3.79,-2.604,-1.186,0.6006,0.4428,0.9228,53.56,50.88,0.3074,0.4482,0.007336,0.4228,0.8171,0.2052,0.4817,2.002,0.2509,2.119,0.002843,17.88,-0.004951,0
1.967,1.08,1.518,0.4655,0.1285,0.7854,-3.554,-2.59,-0.9644,0.6057,0.3439,0.9577,52.79,49.51,0.02433,0.3237,0.04449,0.5982,0.3124,0.1663,0.359,1.098,0.2509,2.119,0.002843,17.88,-0.004951,0
1.609,1.1,2.237,0.5865,0.1564,0.8393,-4.35,-3.076,-1.274,0.6204,0.4319,0.8921,52.26,48.4,0.3513,0.5388,0.06721,0.4337,0.7121,0.1745,0.4401,0.7359,0.2509,2.119,0.002843,17.88,-0.004951,0
1.875,1.09,1.907,0.4805,0.1325,0.7981,-3.725,-2.461,-1.264,0.5914,0.3444,0.9414,51.05,49.28,0.4223,0.1173,0.02813,0.4541,0.551,0.1703,0.3918,1.731,0.2509,2.119,0.002843,17.88,-0.004951,0
1.783,1.09,1.597,0.4606,0.1283,0.7831,-3.205,-2.535,-0.6706,0.6116,0.3487,0.9095,53.11,49.98,0.138,0.3313,0.0495,0.4909,0.3735,0.1725,0.3456,1.13,0.2509,2.119,0.002843,17.88,-0.004951,0
2.463,1.22,1.681,0.5833,0.1628,0.8606,-3.445,-2.325,-1.12,0.5876,0.4198,0.9174,53.18,48.45,0.2879,0.257,0.02371,0.8465,0.3973,0.2045,0.4828,1.447,0.2509,2.119,0.002843,17.88,-0.004951,0
