 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.862,1.09,1.595,0.4706,0.13,0.7879,-3.48,-2.624,-0.8566,0.6106,0.3515,0.9378,52.39,50.72,0.1368,0.3535,0.0401,0.5427,0.357,0.1708,0.3568,1.156,0.2509,2.119,0.002843,17.88,-0.004951,1
2.431,1.1,1.623,0.5699,0.1508,0.8262,-4.41,-3.269,-1.141,0.6327,0.4272,0.9235,51.77,48.07,0.4446,0.3302,0.07,0.826,0.386,0.1705,0.4608,1.377,0.2509,2.119,0.002843,17.88,-0.004951,1
1.597,1.1,1.49,0.4727,0.1323,0.7929,-3.093,-2.476,-0.6173,0.61,0.3587,0.9125,50.96,48.18,0.3421,0.2296,0.04165,0.4264,0.3667,0.1779,0.3237,1.5,0.2509,2.119,0.002843,17.88,-0.004951,1
2.168,1.1,1.674,0.5811,0.1567,0.8403,-4.035,-2.954,-1.081,0.6204,0.4321,0.916,46.71,38.96,0.5131,0.3181,0.06178,0.6613,0.4697,0.1764,0.4358,1.289,0.2509,2.119,0.002843,17.88,-0.004951,1
1.476,1.09,1.906,0.4805,0.133,0.7986,-3.611,-2.458,-1.153,0.5939,0.3472,0.9153,55.07,51.82,0.2492,0.08194,0.03076,0.3068,0.5861,0.171,0.3546,1.145,0.2509,2.119,0.002843,17.88,-0.004951,1
1.662,1.22,2.236,0.6173,0.1673,0.8597,-4.014,-2.82,-1.194,0.6109,0.4523,0.9025,53.38,51.15,0.3191,0.5191,0.005001,0.4609,0.7251,0.2022,0.4627,2.001,0.2509,2.119,0.002843,17.88,-0.004951,1
1.521,1.08,1.611,0.4683,0.1294,0.786,-3.41,-2.632,-0.7783,0.6135,0.3525,0.9233,52.12,47.5,0.2548,0.3397,0.0401,0.3733,0.4343,0.1672,0.3249,1.117,0.2509,2.119,0.002843,17.88,-0.004951,1
1.935,1.08,1.642,0.4617,0.126,0.7793,-3.837,-2.727,-1.11,0.6087,0.3391,0.9508,53.45,50.67,0.113,0.3265,0.04753,0.5681,0.364,0.1634,0.3652,1.188,0.2509,2.119,0.002843,17.88,-0.004951,1
1.779,1.2,1.362,0.5005,0.1414,0.8191,-3.181,-2.203,-0.9788,0.584,0.3622,0.9425,51.45,49.52,0.2912,0.2485,0.02842,0.5276,0.3168,0.1945,0.3463,1.503,0.2509,2.119,0.002843,17.88,-0.004951,1
1.814,1.08,1.383,0.4932,0.1337,0.799,-4.071,-2.754,-1.317,0.6046,0.357,0.936,49.96,44.68,0.2645,0.2883,0.03071,0.5463,0.3115,0.1663,0.3413,1.527,0.2509,2.119,0.002843,17.88,-0.004951,1
1.944,1.1,1.692,0.4741,0.1314,0.7937,-3.524,-2.497,-1.027,0.5991,0.3468,0.9031,51.82,49.84,0.1133,0.3186,0.03081,0.567,0.3879,0.1737,0.3762,1.207,0.2509,2.119,0.002843,17.88,-0.004951,1
1.583,1.08,1.86,0.4652,0.1279,0.7825,-3.581,-2.693,-0.8881,0.6133,0.3476,0.9558,51.52,49.62,0.3535,0.1144,0.04445,0.3511,0.5426,0.1659,0.3532,0.9258,0.2509,2.119,0.002843,17.88,-0.004951,1
2.417,1.22,1.758,0.6164,0.1654,0.8549,-4.242,-2.961,-1.281,0.615,0.4514,0.8844,52.39,50.23,0.4449,0.2598,0.006543,0.8396,0.4444,0.2007,0.4949,1.371,0.2509,2.119,0.002843,17.88,-0.004951,1
