 Length, Height, Width, Eigenentropy, Anisotropy, Surface Variation, Verticality, Class
1.718,1.24,2.355,0.8619,-3.779,0.6003,0.8977,1
2.262,1.22,1.672,0.853,-3.803,0.5967,0.9289,1
1.977,1.09,1.576,0.766,-3.912,0.6142,0.9465,1
1.929,1.08,1.602,0.7883,-3.231,0.6045,0.9451,1
2.498,1.24,1.701,0.8623,-3.906,0.605,0.8951,1
2.289,1.1,1.572,0.8299,-4.081,0.6243,0.9046,1
1.649,1.22,2.464,0.8604,-4.043,0.6056,0.9054,1
1.453,1.09,1.761,0.7947,-4.133,0.5992,0.9591,1
1.594,1.09,2.539,0.8469,-3.991,0.6236,0.894,1
2.393,1.18,1.7,0.8475,-3.989,0.6135,0.8977,1
1.44,1.31,1.834,0.8256,-3.296,0.5855,0.8929,1
1.446,1.09,2.399,0.7527,-5.081,0.7156,0.9446,1
1.605,1.22,1.942,0.8134,-3.158,0.5832,0.9031,1
1.651,1.22,2.388,0.8539,-4.015,0.6108,0.8963,1
1.946,1.12,1.339,0.7866,-3.392,0.6129,0.9082,1
2.409,1.12,1.494,0.8296,-3.838,0.622,0.8867,1
2.402,1.09,1.945,0.8422,-4.25,0.6022,0.9204,1
2.525,1.21,1.684,0.8542,-3.944,0.608,0.9271,1
1.571,1.08,1.605,0.7915,-3.567,0.6136,0.9231,1
1.862,1.09,1.595,0.7879,-3.48,0.6106,0.9378,1
2.431,1.1,1.623,0.8262,-4.41,0.6327,0.9235,1
1.597,1.1,1.49,0.7929,-3.093,0.61,0.9125,1
2.168,1.1,1.674,0.8403,-4.035,0.6204,0.916,1
1.476,1.09,1.906,0.7986,-3.611,0.5939,0.9153,1
1.662,1.22,2.236,0.8597,-4.014,0.6109,0.9025,1
1.521,1.08,1.611,0.786,-3.41,0.6135,0.9233,1
1.935,1.08,1.642,0.7793,-3.837,0.6087,0.9508,1
1.779,1.2,1.362,0.8191,-3.181,0.584,0.9425,1
1.814,1.08,1.383,0.799,-4.071,0.6046,0.936,1
1.944,1.1,1.692,0.7937,-3.524,0.5991,0.9031,1
1.583,1.08,1.86,0.7825,-3.581,0.6133,0.9558,1
2.417,1.22,1.758,0.8549,-4.242,0.615,0.8844,1
2.398,1.23,1.649,0.8614,-3.439,0.5877,0.919,1
1.892,1.24,2.16,0.8654,-3.611,0.5979,0.893,1
1.402,1.1,2.455,0.7471,-4.749,0.7128,0.9617,1
1.969,1.09,1.602,0.7861,-3.502,0.6105,0.9295,1
1.646,1.22,2.333,0.8558,-3.562,0.5873,0.9022,1
2.496,1.23,1.779,0.8588,-3.929,0.61,0.8703,1
1.967,1.21,1.973,0.86,-4.002,0.6074,0.8818,1
1.813,1.1,1.598,0.7955,-3.334,0.6149,0.911,1
1.696,1.22,2.432,0.856,-3.833,0.6043,0.9077,1
2.507,1.21,1.743,0.8547,-3.758,0.5986,0.9046,1
1.899,1.09,1.832,0.7991,-4.217,0.6125,0.9418,1
