Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
2.525,1.23,1.702,0.5961,0.1646,0.8594,-3.598,1
1.623,1.08,1.582,0.4627,0.1281,0.7835,-3.429,1
1.819,1.22,2.335,0.5966,0.1627,0.8545,-3.878,1
1.813,1.09,1.812,0.4853,0.1327,0.7968,-3.849,1
1.451,1.09,1.959,0.461,0.128,0.7832,-3.365,1
1.959,1.09,1.649,0.4655,0.1278,0.782,-3.596,1
1.426,1.22,1.83,0.4945,0.1405,0.8175,-3.052,1
2.482,1.09,1.386,0.5308,0.1281,0.7555,-5.067,1
1.726,1.22,2.365,0.6131,0.1673,0.8629,-3.916,1
1.986,1.23,1.687,0.5022,0.1412,0.8183,-3.281,1
2.046,1.09,1.771,0.5567,0.1516,0.8329,-3.806,1
2.43,1.09,1.638,0.5616,0.1512,0.8311,-4.08,1
1.588,1.09,1.558,0.4605,0.1262,0.7775,-3.578,1
1.866,1.09,1.596,0.4766,0.1315,0.7907,-3.418,1
2.379,1.09,1.711,0.5793,0.1567,0.8435,-4.09,1
1.636,1.23,1.676,0.4953,0.1415,0.8176,-2.765,1
1.351,1.09,1.687,0.4733,0.1309,0.7885,-3.328,1
2.489,1.09,1.514,0.5695,0.1518,0.8303,-4.303,1
1.945,1.12,1.56,0.4712,0.1302,0.7882,-3.454,1
